RU001	Общий	Безопасно для всех.
RU002	Пикантный (16+)	Легкая эротика или откровенные позы.
RU003	Откровенный (18+)	Нагота, насилие или тяжелые темы.
RU004	Романтика (18+)	Сексуальное напряжение или любовные сцены.
RU005	Человек	Обычный человеческий персонаж.
RU006	Гуманоид	Эльфы, гномы, ангелы, русалки и т. д.
RU007	Монстр / Демон	Орки, гоблины, демоны, вампиры и т. д.
RU008	Животное (Млекопитающее)	Кошки, собаки, волки, лошади, медведи.
RU009	Животное (Птица)	Орлы, вороны, совы, мелкие птицы.
RU010	Животное (Рептилия)	Змеи, ящерицы, лягушки, черепахи.
RU011	Животное (Морское)	Рыбы, акулы, киты, осьминоги.
RU012	Животное (Насекомое)	Бабочки, пауки, жуки.
RU013	Мифическое существо	Драконы, единороги, грифоны.
RU014	Нежить	Призраки, скелеты, зомби.
RU015	Робот / Киборг	Мехи, андроиды, механизмы.
RU016	Мужчина	Мужской пол.
RU017	Женщина	Женский пол.
RU018	Андрогин	Пол неопределен или смешан.
RU019	Соло	Только один персонаж в кадре.
RU020	Дуэт / Малая группа	От 2 до 5 персонажей.
RU021	Толпа	6 и более персонажей.
RU022	Воин / Боец	Рыцари, варвары, мастера боевых искусств.
RU023	Маг / Целитель	Колдуны, друиды, жрецы, алхимики.
RU024	Разбойник / Убийца	Воры, ассасины, скрытные герои.
RU025	Монарх / Дворянин	Короли, королевы, аристократия.
RU026	Рабочий / Профи	Ученые, кузнецы, врачи, повара.
RU027	Гражданский	Барды, торговцы, обыватели.
RU028	Военный / Полиция	Современная армия, спецназ, охрана правопорядка.
RU029	Нечеловеческие уши	Эльфийские или звериные ушки.
RU030	Крылья	Пернатые, кожаные или как у насекомых.
RU031	Рога / Хвост	Костные выросты или задние отростки.
RU032	Необычные глаза	Красные, желтые или разного цвета (гетерохромия).
RU033	Магические глаза	Светящиеся глаза или пустые глазницы.
RU034	Длинные волосы	Волосы ниже плеч.
RU035	Короткие волосы	Волосы выше плеч или лысина.
RU036	Необычный цвет волос	Синий, розовый, белый и т. д.
RU037	Борода / Усы	Растительность на лице.
RU038	Шрамы / Тату	Модификации тела или боевые метки.
RU039	Кровь / Травмы	Видимые раны, кровь, повязки.
RU040	Стоит	Прямая вертикальная поза.
RU041	Сидит / На коленях	На поверхности или на коленях.
RU042	Лежит	На спине, животе или боку.
RU043	Падает / Парит	В воздухе, в свободном падении или полете.
RU044	Бой / Экшен	Активное сражение или атака.
RU045	Идет / Бежит	Перемещение по земле.
RU046	Магия	Использование заклинаний или аура.
RU047	Танец / Выступление	Музицирование или ритмичные движения.
RU048	Сон / Отдых	Глаза закрыты, спокойное состояние.
RU049	Взгляд в кадр	Смотрит прямо на зрителя.
RU050	Счастье / Улыбка	Радость, смех.
RU051	Грусть / Слезы	Печаль, слезы, меланхолия.
RU052	Гнев / Ярость	Враждебность, боевой клич.
RU053	Шок / Страх	Испуг, паника, удивление.
RU054	Серьезность	Нейтральное или сосредоточенное лицо.
RU055	Флирт / Румянец	Соблазнение или смущение.
RU056	Объятия / Поцелуй	Физическая близость.
RU057	Держит предмет	В руках какой-то важный объект.
RU058	Ню / Голый торс	Без одежды или полуобнажен.
RU059	Повседневная	Футболки, джинсы, худи.
RU060	Официальная	Костюмы, вечерние платья.
RU061	Броня	Латы, кольчуги, тактическая защита.
RU062	Униформа	Школьная, горничной, спортивная.
RU063	Мантии	Плащи, магические робы.
RU064	Купальник / Белье	Бикини, трусы, лифчики.
RU065	Традиционная	Кимоно, исторические наряды.
RU066	Киберпанк / Сайнс-фикшн	Футуристичные костюмы с неоном.
RU067	Зимняя одежда	Пальто, шарфы, куртки.
RU068	Очки / Маска	Аксессуары на лице.
RU069	Головной убор	Шляпы, короны, шлемы.
RU070	Украшения	Ожерелья, кольца, серьги.
RU071	Сумка / Рюкзак	Снаряжение для переноски.
RU072	Инструмент	Гитары, флейты и т. д.
RU073	Транспорт	Машины, байки, мехи, корабли.
RU074	Еда / Напиток	Трапеза, алкоголь, зелья.
RU075	Гаджет	Телефоны, ноутбуки.
RU076	Книга / Свиток	Чтиво или карты.
RU077	Клинки	Мечи, кинжалы, косы.
RU078	Дробящее	Молоты, посохи, кастеты.
RU079	Лук / Арбалет	Стрелковое холодное оружие.
RU080	Огнестрел	Пистолеты, винтовки, бластеры.
RU081	Магический фокус	Палочки, сферы, гримуары.
RU082	Природа / Дичь	Леса, горы, пещеры.
RU083	Вода / Океан	Пляжи, подводный мир.
RU084	Город / Урбан	Улицы, небоскребы.
RU085	Интерьер	Внутри зданий.
RU086	Замок / Руины	Фэнтези-архитектура.
RU087	Небо / Космос	Звезды, облака, космос.
RU088	Абстракция	Градиенты, узоры, фон без деталей.
RU089	Огонь / Хаос	Пожары, вулканы, разрушения.
RU090	День / Светло	Яркое освещение.
RU091	Ночь / Погода	Тьма, дождь, снег.
RU092	Аниме / Манга	Традиционный японский стиль.
RU093	Реализм	Живые пропорции и свет.
RU094	Скетч / Лайн	Рисунок без цвета или черновик.
RU095	Монохром	Чёрно-белое или сепия.
RU096	Портрет / Крупный план	Лицо и плечи.
RU097	В полный рост	Весь персонаж в кадре.
RU098	Пейзаж	Фокус на фоне.
RU099	Ракурс	Динамичные углы обзора.
RU100	Комикс / Мем	Панели или юмор.
RU101	Сток-фото	Профессиональное фото для общего пользования.
RU102	Макро	Сверхкрупный план мелочей.
RU103	Длинная выдержка	Размытие движения.
RU104	Панорама	Широкий обзор.
RU105	HDR-фото	Высокая детализация света и тени.
RU106	Селфи	Фото самого себя.
RU107	Боке	Размытие заднего плана.
RU108	3D-рендер	Моделирование (Blender и др.).
RU109	Лоу-поли	Угловатый, блочный 3D-стиль.
RU110	Воксель-арт	Стиль из кубиков (Майнкрафт-стайл).
RU111	Трассировка лучей	Продвинутый свет и тени.
RU112	Изометрия	Вид под углом 45 градусов.
RU113	Постер	Макет для плаката.
RU114	Логотип	Фирменный знак.
RU115	UI / UX	Интерфейсы программ и сайтов.
RU116	Инфографика	Визуализация данных.
RU117	Мокап	Дизайн на реальном объекте.
RU118	Мудборд	Доска вдохновения.
RU119	Майнкрафт	Стиль игры Minecraft.
RU120	Мем	Смешная картинка.
